"tabid	display_text	link_to	role"
"1	Home Page	/employee	ROLE_ADMIN"
"2	Search Tickets	/searchTickets	ROLE_ADMIN"
"3	Add User	/createButton	ROLE_ADMIN"
"4	Search Users	/searchButton	ROLE_ADMIN"
"5	Search Items	/searchWidgetButton	ROLE_ADMIN"
"6	Items Info	/widgetsInfo	ROLE_ADMIN"
"7	View a Message	/searchMessageButton	ROLE_ADMIN"
"8	My Messages	/messages	ROLE_ADMIN"
"9	Home Page	/employee	ROLE_ADMIN_SHADOW"
"10	Search Tickets	/searchTickets	ROLE_ADMIN_SHADOW"
"11	Search Users	/searchButton	ROLE_ADMIN_SHADOW"
"12	Search Widgets	/searchWidgetButton	ROLE_ADMIN_SHADOW"
"13	Widgets Info	/widgetsInfo	ROLE_ADMIN_SHADOW"
"14	View a Message	/searchMessageButton	ROLE_ADMIN_SHADOW"
"15	My Messages	/messages	ROLE_ADMIN_SHADOW"
"16	Home Page	/employee	ROLE_TECHNICALSERVICE"
"17	Search Tickets	/searchTickets	ROLE_TECHNICALSERVICE"
"18	Search Users	/searchButton	ROLE_TECHNICALSERVICE"
"19	Search Widgets	/searchWidgetButton	ROLE_TECHNICALSERVICE"
"20	Widgets Info	/widgetsInfo	ROLE_TECHNICALSERVICE"
"21	View a Message	/searchMessageButton	ROLE_TECHNICALSERVICE"
"22	My Messages	/messages	ROLE_TECHNICALSERVICE"
"23	Home Page	/employee	ROLE_SECURITY"
"24	Search Tickets	/searchTickets	ROLE_SECURITY"
"25	Search Users	/searchButton	ROLE_SECURITY"
"26	Search Widgets	/searchWidgetButton	ROLE_SECURITY"
"27	Widgets Info	/widgetsInfo	ROLE_SECURITY"
"28	View a Message	/searchMessageButton	ROLE_SECURITY"
"29	My Messages	/messages	ROLE_SECURITY"
"30	Home Page	/employee	ROLE_SALES"
"31	Statistics	/statButton	ROLE_SALES"
"32	Search Users	/searchButton	ROLE_SALES"
"33	Search Widgets	/searchWidgetButton	ROLE_SALES"
"34	Widgets Info	/widgetsInfo	ROLE_SALES"
"35	View a Message	/searchMessageButton	ROLE_SALES"
"36	My Messages	/messages	ROLE_SALES"
"37	Home Page	/employee	ROLE_HIRINGMANAGER"
"38	New Applications	/searchApplicationsButton(id = ${1})	ROLE_HIRINGMANAGER"
"39	Reviewed Applications	/searchApplicationsButton(id = ${2})	ROLE_HIRINGMANAGER"
"40	My Messages	/messages	ROLE_HIRINGMANAGER"
"41	Home Page	/employee	ROLE_HELPDESK_ADMIN"
"42	Search Tickets	/searchTickets	ROLE_HELPDESK_ADMIN"
"43	Search Users	/searchButton	ROLE_HELPDESK_ADMIN"
"44	Search Widgets	/searchWidgetButton	ROLE_HELPDESK_ADMIN"
"45	Widgets Info	/widgetsInfo	ROLE_HELPDESK_ADMIN"
"46	View a Message	/searchMessageButton	ROLE_HELPDESK_ADMIN"
"47	My Messages	/messages	ROLE_HELPDESK_ADMIN"
"48	Home Page	/employee	ROLE_HELPDESK_REGULAR"
"49	Search Tickets	/searchTickets	ROLE_HELPDESK_REGULAR"
"50	Search Users	/searchButton	ROLE_HELPDESK_REGULAR"
"51	Search Widgets	/searchWidgetButton	ROLE_HELPDESK_REGULAR"
"52	Widgets Info	/widgetsInfo	ROLE_HELPDESK_REGULAR"
"53	View a Message	/searchMessageButton	ROLE_HELPDESK_REGULAR"
"54	My Messages	/messages	ROLE_HELPDESK_REGULAR"
"55	Home	/homePage	ROLE_USER"
"56	Browse	/BrowseWidgetsButton	ROLE_USER"
"57	Sell an Item	/addWidget	ROLE_USER"
"58	Tickets	/tickets	ROLE_USER"
"59	Friends	/friends	ROLE_USER"
"60	Messages	/messages	ROLE_USER"
